data_id, sku_id, title,flag
592981889210,4316542978968, 清扬男士去屑活力运动薄荷洗发水500g*2+100g ,N
543501944655,4611686561929332559, 欧莱雅美发透明质酸水润去头屑控油洗发水露润发乳套装 无硅油 ,N
539146196494,4611686557573584398, 欧莱雅美发多效修复洗发水润发乳护发素套装 改善干枯毛燥分叉 ,N
559042765613,3480845416868, 海飞丝袋装洗发水男士小包装官方控油去屑止痒旗舰店洗头露膏正品 ,N
561436086990,3723594324463, 海飞丝洗发水露丝质柔滑型男女士去屑家庭装清爽洗头膏700ml包邮 ,N
522047046978,3109663784849, 清扬男士去屑洗发活力运动薄荷500ml+凌仕男士沐浴露契合600ml ,N
39066944280,4200970326700, CLEAR/清扬去屑控油洗发水控油平衡型洗发露男女通用1千克洗发乳 ,N
523274614254,3115187481650, CLEAR/清扬 女士去屑洗发露深度滋养型 ,N
536647385609,3203210074355, tamanohada 洗发水 ,N
558532290839,3689039388277, 法国Rene Furterer馥绿德雅进口防脱发洗发水洗发露250ml*2瓶 ,N
571882367735,3706529260773, 资生堂ADENOGEN洗护套装 滋润型洗发水+护发素400mlx2瓶 强根固发 ,N
549432637517,3811602326957, CLEAR/清扬 男士去屑净透洗发露(海藻菁萃型) ,N
527763014011,3150342357254, L'OREAL欧莱雅男士炭爽活泉洗发水套装去头屑洗发露无硅油200ml*2 ,N
529046199924,3150930738191, L＇oreal/欧莱雅 男士去屑洗发露(维他强韧） ,N
36881195916,4611686055308583820, VS沙宣修护水养洗发露套装750ml*2水润改善毛躁干枯受损洗发水 ,N
541913465493,4611686560340853397, VS沙宣水润去屑洗发水400ml+200ml套装止痒洗发露去屑头皮屑男女 ,N
37251152574,62951143625, L＇oreal/欧莱雅 沙龙洗护系列油脂平衡洗发水 ,N
583275482911,4611686601702870815, 【烫染枯】triptychoflune三谷氨基酸洗发水护发素套装深层修护女 ,N
591765706530,4237473951509, Hair Recipe发之食无硅油无花果/蜂蜜/苹果姜/扁桃仁洗发水280ml ,N
44148541336,79308409472, 【屈臣氏】组合 资生堂惠润洗发露(绿野芳香)600毫升*2件 ,N
574972956137,3987573129553, HAIR RECIPE Hair Recipe发之食谱蜂蜜富养水润无硅油水果洗发水530ml+530g进口 ,N
41194698335,69502727169, 【屈臣氏】施华蔻多效修护快捷旅行套装(洗发50ml+护发50ml)*2件 ,N
564190884990,4172861670119, COCOVEL/蔻露薇 水润蛋白滋养双效洗发乳 ,N
577136955682,4056163218567, 迷迭香硫磺软膏除螨洗发水男女去大块头皮屑去屑止痒控油神器克星 ,N
569324922006,3652039413404, AUSSIE/澳丝 奇迹丰盈洗发露 ,N
583737275600,4096153622051, COLAR/卡拿 姜康十三味 ,N
555889348198,3715085729319, 满婷 青花椒头皮养护洗发露 ,N
552721612002,4611686571148999906, 强生婴儿儿童活力亮泽洗发露200mlx2 儿童柔顺无泪洗发水公主女孩 ,N
588497966597,4184946019989, 魔香 迷迭香控油洗发水 ,N
579726486986,4021141910420, Moroccanoil/摩洛哥油 摩洛哥油洗护500ml ,N
27247132576,4085962451629, oba/欧芭 香草SPA48小时高营养洗发乳霜 ,N
525153113253,3125734261382, 多芬洗发水露洗头膏樱花沐浴露乳液护发素套装持久留香家庭装男女 ,N
45319533054,90513759056, 资生堂无硅油洗发水2瓶惠润柔净绿野芳香男女士洗发露600ml*2瓶 ,N
572895896559,3734621660925, 巴登魔瓶 生姜强根健发洗发水 ,N
579269215770,4011779682265, 施华蔻8金纯盈润精油洗发水洗发露无硅油600ml*2瓶装 ,N
540785614365,4611686559213002269, 蜂花正品无硅油洗发水生姜健发小麦蛋白柔顺护发素组合装洗护套装 ,N
536624768654,3202769054941, L’Oreal professionnel/巴黎欧莱雅沙龙专属 ,N
588485764679,4186372550135, 韵の堂 淘米水臻萃养发系列 ,N
588615185397,4302869955949, 满婷 满婷青花椒头皮养护洗发乳（无硅油配方） ,N
583195142998,3918988180414, Schwarzkopf/施华蔻 金致润养精油洗发露 ,N
539892455319,4167236591335, 丝域（化妆品） 暖姜洗发露 ,N
520775766013,4611686539203153917, SEEYOUNG/滋源 生姜强根健发尊享套(油性头皮适用) ,N
589636809515,4032555504047, KONO顺滑轻盈洗发水套装洗发水顺滑洗发露女生滋润秀发抚顺毛躁 ,N
18882926752,4611686037310314656, 卓蓝雅无硅油生姜洗发水护发素抖音防脱发控油柔顺洗头膏洗护套装 ,N
41122330248,3878207468749, 遇见香芬COCO洗发水护发素沐浴露洗护沐浴三件套装非修复干枯毛躁 ,N
575177225216,3939276694517, Christophe Robin 海盐舒缓头皮洁净霜 ,N
545122240521,4023027774014, DOMELAY/朵美莱 滋润丝滑洗发露 ,N
588794805367,4190444975453, VS沙宣垂坠质感洗发水750ml洗发露男女通用洗头膏滋润发丝 ,N
591801149705,4238230030663, triptychoflune三谷氨基酸无硅油洗发水护发素套装女士控油滋养 ,N
536067437440,3203174989460, amos/爱茉诗 绿茶防脱发洗发水（油性） ,N
528890318835,3220094549646, 日本熊野油脂无硅马油弱酸性防脱控油保湿男女洗发水2瓶 原装进口 ,N
527649071645,3584076403215, 好迪 好迪活力清爽控油洗发水+保湿滋润沐浴露 ,N
576812448977,3804372528451, George caroll/乔治卡罗尔 乔卡男士单身狗洗发水 ,N
581280073059,4290007123135, 魔香 女人香滋润顺滑洗发水 ,N
593845357701,4277673267179, Aussie袋鼠凝雾去油蓬松蓬蓬洁净便携免洗头发喷雾干发清爽女65ml ,N
528722020461,3200381786626, 日本熊野油脂无添加去屑控油止痒防脱健发孕妇可用洗发水护发套装 ,N
548220756480,3870014848627, 徽歌 女人香深层补水洗发水 ,N
544375525018,4611686562802912922, Moroccanoil摩洛哥精油丰盈洗发水护发素套装持久蓬松控油留香 ,N
544414632679,4020914676749, Adidas/阿迪达斯 控油劲爽男士去屑洗发露 ,N
557856434093,4032458204245, YUNEGISH/优妮 马油洗发水 ,N
523158712821,3114350431585, 发雅丝 姜医生控油清爽洗发露 ,N
587216440999,3995651272378, 正品黑裙香水型洗发水护发素沐浴露套装女士香味持久留香去屑膏小 ,N
538830710970,3231700601976, 徽歌 小黑裙香水洗发水 ,N
536974652292,4329809527745, SOMANG/所望 头皮护理植物洗发水 ,N
574851036498,4215635043231, 三个魔发匠 香水滋润柔顺洗发乳 ,N
556717824225,4021520405321, botanist 柔顺洗发水 ,N
39024068460,4088522151195, 琴叶 生姜疗发去屑洗发水 ,N
571041485451,4242751678899, 强生儿童洗发水6-12柔顺3-15岁男女孩大童小孩专用洗头膏正品女童 ,N
37752005107,4116047568050, The Face Shop/菲诗小铺 梦中邂逅香水洗发水 ,N
544860653343,4611686563288041247, 施华蔻维他命护发无硅油清爽蓬松洗发水洗发露洗头膏套装官方1L ,N
538675334566,4611686557102722470, 施华蔻斐丝丽睡莲清爽香水洗发水滋养洗发露套装官方1360ml ,N
38232631624,3974979522221, 阿道夫 净澈清爽洗发乳液 ,N
575858525278,3784138668924, 海飞丝无硅油去屑止痒控油洗发水液露套装洗发膏男女正品450ml*3 ,N
520307050786,3101489472074, L'OREAL /欧莱雅 透明质酸水润72h洗发露 ,N
545152571565,3451116562546, 海飞丝 去屑洗发露(怡神冰凉型) ,N
2850871799,4033823417915, 海飞丝 去屑洗发露深层洁净型 ,N
560707311429,3504638460169, RYO/吕 舒盈清润净澈去屑洗发水 ,N
548343640359,3491977179447, L＇oreal/欧莱雅 茶树植萃去屑1分钟头皮深层净彻凝胶 ,N
575581122672,3786109012460, 海飞丝洗发水露丝质柔滑5ml*100袋旅行装5毫升去屑小包袋装洗头膏 ,N
560489824228,4611686578917212132, 【官方正品】绿吕控油蓬松清爽男士无硅油洗发水组合女清香400g*2 ,N
45418218682,3552222452751, KERASTASE/卡诗 奥丽顺柔洗发水 ,N
586726059434,4611686605153447338, 海飞丝防脱发洗发水青春男士女套装护根防掉焕活乳精华官方旗舰店 ,N
535919649838,3662705722930, KERASTASE/卡诗 丝韧焕活洗发水 ,N
41719418888,4611686060146806792, 欧莱雅美发多效修复洗发水套装400ml*2 强韧发丝减少分叉改善干枯 ,N
41920234537,4031387317180, 包邮清扬洗发水男士去屑活力运动薄荷型洗发露套装洗发乳液1千克 ,N
520825791128,3644305928218, CLEAR/清扬 男士去屑洗发露活力运动型 ,N
538874286214,3220308945072, 日本百年TAMANOHADA玉肌进口无硅油洗发水+护发素洗护套装 2瓶 ,N
551628101067,4179554054681, AUSSIE 丰盈蓬松洗发水 ,N
579481812802,4611686597909200706, 清扬洗发水 男士去屑洗发露清爽控油型500g+100g*2 ,N
532069301237,3173583531529, CLEAR/清扬 去屑洗发露(清新净透型) ,N
18907787236,3644944544283, 联合利华清扬多效水润男女士洗发水/露去头屑留香官方正品500g*2 ,N
532905438626,4611686551332826530, VS沙宣洗发露套装 清盈顺柔洗发水750ml*2 男士女士深度清洁 ,N
566056594986,4028773295283, L＇oreal/欧莱雅 沙龙洗护系列油脂平衡洗发水 ,N
43117310948,74763685224, 【屈臣氏】潘婷CLINICARE染烫损伤修护洗发露/水润发乳套装600ml ,N
574975700156,3770931356007, Hair Recipe发之食谱无花果无硅油控油去油洗发水护发素280套装 ,N
533668101886,3183162313309, 【屈臣氏】施华蔻辣木籽净透无硅洗发露600ml*2发丝清爽洗发水 ,N
520454715679,3593617839906, 施华蔻羊绒脂滋养洗发水露乳洗头膏套装染烫受损修护理女 ,N
36940537022,4611686055367924926, VS沙宣洗发水护发素套装修护水养洗发露+护发素750ml滋润烫染 ,N
566673362719,3846845393380, 满婷 清满修护洗发露 ,N
592239840895,4080202488565, 牛蒡根迷迭香洗发水去螨虫除螨控油去屑止痒非离子柔亮轻奢洗头膏 ,N
575896638524,4611686594324026428, Aussie白袋鼠洗发水修护护发洗护套装 女改善毛躁洗头膏素发膜 ,N
