id,商品名称,销售价格,月销量,评论量,商品人气值
38238938859,阿道夫 滋润修护洗发乳液 ,88,51834,607562
523061064785,施华蔻男士洗发水控油祛屑洗发水无硅油 修护洗头膏男士专用450ml ,69,5230,14106
528727834611,L＇oreal/欧莱雅 男士去屑洗发露(炭爽去油） ,55,12172,89710
45433610572,KERASTASE/卡诗 双重功能洗发水 ,240,12871,22938
533914706985,植观 百里香蓬松丰盈系列氨基酸洗发水 ,94,39662,161398
567147095056,清扬男士去屑洗发水露套装活力清爽控油止痒去油洗头膏官方旗舰店 ,57.9,2404,2735
557852247211,Shiseido/资生堂 不老林控油 ,218,2020,4635
538681562496,阿道夫 轻柔丝滑洗发乳液 ,55,28109,205564
565345415007,【官方正品】紫吕滋养韧发洗发水护发素(油性头皮)套装香400ml*2 ,156.8,11950,9199
25579932680,oba/欧芭 欧芭油弱去屑洗发乳霜A5 ,137,1701,5713
567540353408,RE-SHOW/瑞丝 养元乌发洗发水 ,220,3416,14568
38393021990,阿道夫 净澈清爽洗发水+沐浴露 ,123,3786,13230
565259442086,【官方正品】红吕洗发水护发素洗护套装柔顺修护干枯香400ml*2 ,140.8,17933,7762
544941813382,马丁 洗发水 ,37.8,58566,409697
20123750589,海飞丝 男士净爽控油型去屑洗发露 ,55.8,8479,73044
39045229672,施华蔻多效修护19氨基酸洗发水润发乳改善毛躁女士洗护套装800ml ,89,332,27187
576014207851,海飞丝 海飞丝丝质柔滑洗发水700ml*2 ,99,1948,2835
575245010933,Hair Recipe发之食谱苹果生姜洗发水无硅油控油护发素280套装 ,129,5603,22403
536955781121,阿道夫 洗护沐(轻柔+护发+幽香) ,124,1322,1666
536987813027,阿道夫 轻柔+魅力 ,84,1827,11500
559382559609,KERASTASE/卡诗 头皮系列根源特护洗发水 ,260,5377,11928
533913718635,植观 矢车菊清爽控油系列氨基酸洗发水 ,99,11604,35173
37586958831,清扬男士去屑洗发水露清爽控油止痒洗发乳750ml旗舰店官方洗头膏 ,27.8,4920,74627
526415737630,海飞丝 清爽去油洗发水 ,109,54397,257763
43971961932,海飞丝 丝质柔滑去屑洗发露 ,62.99,10512,18428
562934968982,资生堂FINO美容复合精华洗发水护发素套装550ml*2  染烫受损护理 ,158,20589,48106
528046323394,L＇oreal/欧莱雅 男士去屑洗发露(活泉劲爽) ,55,3620,23638
13914880109,海飞丝 清爽去油 洗发露 ,55.8,50241,358361
559773590333,欧莱雅美发精油润养女士洗发水护发素洗护套装1.4L正品持久留香 ,119,17920,92328
564042395450,欧莱雅美发茶树植萃去头屑控油男士女士精油洗发水500*2套装正品 ,92,7346,29309
524835100898,CLEAR/清扬 男士去屑洗发露(清爽控油型) ,62.9,11680,181822
520832053126,【清仓】联合利华清扬去头屑洗发露多效水润正品套装500g*2包邮 ,77.9,2320,1676
584991314005,HAIR RECIPE/发の食谱 Hair Recipe发之食谱洗发水 ,88,1073,1281
42836719878,L＇oreal/欧莱雅 头皮舒缓洗发水 ,119,740,1862
555956019397,韩国Ryoe吕进口黑吕莹韧滋养固发洗发水无硅油洗发露400ml*2瓶 ,115,11237,28005
555943452204,Schwarzkopf/施华蔻 多效修护19洗发露 ,31.8,1513,736
551908589619,RYOE/吕 黑吕洗发水 ,68.5,38624,16004
578532938256,施华蔻多效修护洗护套装改善干枯毛躁男女无硅油洗发水护发素1.4L ,79,848,2719
40480927794,LUSH 丰盈洗发露 Big ,200,442,1912
535618134511,L'occitane/欧舒丹 强韧丰盈防落发洗发露 ,260,2373,10944
587120279966,施华蔻多效修护洗发水护发素无硅油洗护套装男女士烫染受损家庭装 ,59,920,578
17525678796,淘金币惠润柔净洗发露 600ml/洗发水护发资生堂授权正品HN3012 ,52,2036,4434
42601369281,L'occitane/欧舒丹 5合1草本精华修护洗发露 ,550,1464,10601
42300438802,Shiseido/资生堂 护理道头皮生机洗发露 ,208,179,779
535916926736,蜂花 无硅健发洗发露 ,79.8,6715,90957
575356873441,Shiseido/资生堂 不老林 ,199,237,212
592306207948,韩国进口Ryo黑吕莹韧滋养洗发水人参养发洗发露400ml*2瓶 ,115,1346,391
523383904919,沙宣 修护水养洗发露 ,139,46152,230986
36817740554,沙宣 水润去屑洗发露 ,59,61368,31576
567909659268,RE-SHOW/瑞丝 101瑞丝防脱香波 ,69,4150,20090
529411927274,syoss丝蕴无硅水润洗发水套装750ml*2无硅油家庭装洗发露控油T1 ,58,21007,113743
6216068542,霸王 育发洗发水 ,58,13814,86204
41103859257,SEEYOUNG/滋源 无患子保湿滋养洗头水 ,69.9,7565,21029
526957369801,Rene Furterer/馥绿德雅 复合精油强健洗发露单只 ,158,6317,8517
525899251841,SEEYOUNG/滋源 无患子控油清爽洗头水 ,69.9,23710,111503
43879868316,Leiws/贝维诗 罗马香疗滋润洗发露 ,35,3259,26846
526976130082,KLORANE/康如 柔润倍护免洗喷雾 ,128,5851,10908
42212797287,Enchanteur/艾诗 芬香清爽洗发露浪漫花香500ml ,47.9,1924,6052
40530672006,LUSH 再新洗发皂 New ,98,2888,13081
10748388774,霸王 首乌固发洗发液 ,49,3024,67135
579416351487,落健 防脱增发泡沫溶液 ,559,1008,1463
570072710472,霸王育发防脱发生姜洗发水增发密发男女士旗舰店官网非营养液生发 ,109,4815,25969
18715573371,Zooly/卓蓝雅 卓蓝雅防脱育发洗发露 ,65,31182,84439
587577478488,沙宣洗发水护发素套装500ml*3瓶控油去油修护水养旗舰店官方旗舰 ,99,1344,386
